,,reaction_id,smiles,reaction_core,activation_energy
0,0,0,[N:1]#[C:2][C:3]1([N:4]([C:5](=[O:6])[C@:7]2([H:33])[C:8]([H:34])([H:35])[C:9]([H:36])([H:37])[C:10]([H:38])([H:39])[C:11]([H:40])([H:41])[C@:12]2([C:13](=[O:14])[N:15]2[C:16]([H:43])([H:44])[C:17]([H:45])([H:46])[N:18]([C:19]3=[N:20][c:21]4[c:22]([H:47])[c:23]([H:48])[n:24][c:25]([H:49])[c:26]4[S:27]3)[C:28]([H:50])([H:51])[C:29]2([H:52])[H:53])[H:42])[H:32])[C:30]([H:54])([H:55])[C:31]1([H:56])[H:57],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57]]",6.61
1,1,1,[N:1]#[C:2][C:3]1([N:4]([C:5](=[O:6])[C@:7]2([H:33])[C:8]([H:34])([H:35])[C:9]([H:36])([H:37])[C:10]([H:38])([H:39])[C:11]([H:40])([H:41])[C@:12]2([C:13](=[O:14])[N:15]2[C:16]([H:43])([H:44])[C:17]([H:45])([H:46])[N:18]([C:19]3=[N:20][c:21]4[c:22]([H:47])[c:23]([H:48])[n:24][c:25]([H:49])[c:26]4[S:27]3)[C:28]([H:50])([H:51])[C:29]2([H:52])[H:53])[H:42])[H:32])[C:30]([H:54])([H:55])[C:31]1([H:56])[H:57],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57]]",4.9
2,2,2,[N:1]([C:2]1([c:3]2[c:4]([H:29])[c:5]([H:30])[c:6]([C:7]3=[C:15]([c:16]4[c:17]([H:35])[c:18]([H:36])[c:19]([H:37])[c:20]([H:38])[c:21]4[H:39])[N:14]4[C:10](=[C:11]([H:32])[C:12]([H:33])=[C:13]4[H:34])[C:9]([H:31])=[N:8]3)[c:22]([H:40])[c:23]2[H:41])[C:24]([H:42])([H:43])[C:25]([H:44])([H:45])[C:26]1([H:46])[H:47])([H:27])[H:28],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47]]",3.0
3,3,3,[O:1]=[C:2]1[c:3]2[c:4]([H:21])[c:5]([H:22])[c:6]([H:23])[c:7]([H:24])[c:8]2[N:9]([H:25])[N:10]1[C:11]([C:12]1=[C:13]([H:28])[N:14]([H:29])[c:15]2[c:16]([H:30])[c:17]([H:31])[c:18]([H:32])[c:19]([H:33])[c:20]21)([H:26])[H:27],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33]]",4.37
4,4,4,[O:1]=[C:2]([C:3]([N:4]1[C:5]([H:41])([H:42])[C:6]([H:43])([H:44])[O:7][C:8]([H:45])([H:46])[C:9]1([H:47])[H:48])([H:39])[H:40])[N:10]([c:11]1[c:12]([H:50])[c:13]([H:51])[c:14](-[c:15]2[c:16]([H:52])[c:17]([H:53])[c:18]([H:54])[c:19]3[c:31]2[O:30][C:23]([N:24]2[C:25]([H:56])([H:57])[C:26]([H:58])([H:59])[O:27][C:28]([H:60])([H:61])[C:29]2([H:62])[H:63])=[C:22]([H:55])[C:20]3=[O:21])[c:32]([H:64])[c:33]1[O:34][C:35]([C:36]1([H:67])[C:37]([H:68])([H:69])[C:38]1([H:70])[H:71])([H:65])[H:66])[H:49],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71]]",95.5
5,5,5,[C:1]([C:2]([C:3]([C:4]([C:5]([H:40])([H:41])[H:42])([H:38])[H:39])([N:6]1[N:7]=[C:8]([C:9]([H:43])([H:44])[H:45])[C:10]([C:11](=[O:12])[N:13]([C@@:14]([C:15]([H:48])([H:49])[H:50])([C:16]([C:17]([H:51])([H:52])[H:53])([C:18]([H:54])([H:55])[H:56])[C:19]([H:57])([H:58])[H:59])[H:47])[H:46])=[C:20]1[N:21]([S:22](=[O:23])(=[O:24])[c:25]1[c:26]([H:61])[c:27]([H:62])[c:28]([C:29]([H:63])([H:64])[H:65])[c:30]([H:66])[c:31]1[H:67])[H:60])[H:37])([H:35])[H:36])([H:32])([H:33])[H:34],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67]]",15.0
6,6,6,[C:1]([O:2][C:3]([C:4]([C:5]([C:6]([H:41])([H:42])[H:43])([N:7]1[N:8]=[C:9]([C:10]([H:44])([H:45])[H:46])[C:11]([C:12](=[O:13])[N:14]([C@@:15]([C:16]([H:49])([H:50])[H:51])([C:17]([C:18]([H:52])([H:53])[H:54])([C:19]([H:55])([H:56])[H:57])[C:20]([H:58])([H:59])[H:60])[H:48])[H:47])=[C:21]1[N:22]([S:23](=[O:24])(=[O:25])[c:26]1[c:27]([H:62])[c:28]([H:63])[c:29]([C:30]([H:64])([H:65])[H:66])[c:31]([H:67])[c:32]1[H:68])[H:61])[H:40])([H:38])[H:39])([H:36])[H:37])([H:33])([H:34])[H:35],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68]]",9.9
7,7,7,[C:1]([C:2]([N:3]1[N:4]=[C:5]([C:6]([H:34])([H:35])[H:36])[C:7]([C:8](=[O:9])[N:10]([C@@:11]([C:12]([H:39])([H:40])[H:41])([C:13]([C:14]([H:42])([H:43])[H:44])([C:15]([H:45])([H:46])[H:47])[C:16]([H:48])([H:49])[H:50])[H:38])[H:37])=[C:17]1[N:18]([S:19](=[O:20])(=[O:21])[c:22]1[c:23]([H:52])[c:24]([H:53])[c:25]([C:26]([H:54])([H:55])[H:56])[c:27]([H:57])[c:28]1[H:58])[H:51])([H:32])[H:33])([H:29])([H:30])[H:31],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58]]",5.5
8,8,8,[C:1]([c:2]1[c:3]([H:33])[c:4]([H:34])[c:5]([S:6](=[O:7])(=[O:8])[N:9]([C:10]2=[C:11]([C:12](=[O:13])[N:14]([C@@:15]([C:16]([H:38])([H:39])[H:40])([C:17]([C:18]([H:41])([H:42])[H:43])([C:19]([H:44])([H:45])[H:46])[C:20]([H:47])([H:48])[H:49])[H:37])[H:36])[C:21]([C:22]([H:50])([H:51])[H:52])=[N:23][N:24]2[C:25]([C:26]([H:54])([H:55])[H:56])([C:27]([H:57])([H:58])[H:59])[H:53])[H:35])[c:28]([H:60])[c:29]1[H:61])([H:30])([H:31])[H:32],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61]]",3.0
9,9,9,[C:1]([C:2]([C:3]([C:4]([C:5]([H:37])([H:38])[H:39])([H:35])[H:36])([N:6]([C:7](=[O:8])[C:9]1=[C:17]([N:18]([S:19](=[O:20])(=[O:21])[c:22]2[c:23]([H:52])[c:24]([H:53])[c:25]([C:26]([H:54])([H:55])[H:56])[c:27]([H:57])[c:28]2[H:58])[H:51])[N:13]([C:14]([C:15]([H:45])([H:46])[H:47])([C:16]([H:48])([H:49])[H:50])[H:44])[N:12]=[C:10]1[C:11]([H:41])([H:42])[H:43])[H:40])[H:34])([H:32])[H:33])([H:29])([H:30])[H:31],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58]]",59.87
10,10,10,[C:1]([C:2]([C:3]([C:4]([C:5]([H:34])([H:35])[H:36])([H:32])[H:33])([N:6]([C:7](=[O:8])[C:9]1=[C:14]([N:15]([S:16](=[O:17])(=[O:18])[c:19]2[c:20]([H:43])[c:21]([H:44])[c:22]([C:23]([H:45])([H:46])[H:47])[c:24]([H:48])[c:25]2[H:49])[H:42])[N:12]([C:13]([H:39])([H:40])[H:41])[N:11]=[C:10]1[H:38])[H:37])[H:31])([H:29])[H:30])([H:26])([H:27])[H:28],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49]]",27.0
11,11,11,[C:1]([c:2]1[c:3]([H:33])[c:4]([H:34])[c:5]([S:6](=[O:7])(=[O:8])[N:9]([C:10]2=[C:11]([C:12](=[O:13])[N:14]([C@@:15]([C:16]([H:38])([H:39])[H:40])([C:17]([C:18]([H:41])([H:42])[H:43])([C:19]([H:44])([H:45])[H:46])[C:20]([H:47])([H:48])[H:49])[H:37])[H:36])[C:21]([C:22]([H:50])([H:51])[H:52])=[N:23][N:24]2[C:25]([C:26]([H:54])([H:55])[H:56])([C:27]([H:57])([H:58])[H:59])[H:53])[H:35])[c:28]([H:60])[c:29]1[H:61])([H:30])([H:31])[H:32],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61]]",10.0
12,12,12,[C:1]([c:2]1[c:3]([H:34])[c:4]([H:35])[c:5]([S:6](=[O:7])(=[O:8])[N:9]([C:10]2=[C:11]([C:12](=[O:13])[N:14]([C@@:15]([C:16]([H:39])([H:40])[H:41])([C:17]([C:18]([H:42])([H:43])[H:44])([C:19]([H:45])([H:46])[H:47])[C:20]([H:48])([H:49])[H:50])[H:38])[H:37])[C:21]([C:22]([H:51])([H:52])[H:53])=[N:23][N:24]2[C:25]([C:26]([H:54])([H:55])[H:56])([C:27]([H:57])([H:58])[H:59])[C:28]([H:60])([H:61])[H:62])[H:36])[c:29]([H:63])[c:30]1[H:64])([H:31])([H:32])[H:33],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64]]",53.0
13,13,13,[C:1]([c:2]1[c:3]([H:35])[c:4]([H:36])[c:5]([S:6](=[O:7])(=[O:8])[N:9]([C:10]2=[C:11]([C:12](=[O:13])[N:14]([C@@:15]([C:16]([H:40])([H:41])[H:42])([C:17]([C:18]([H:43])([H:44])[H:45])([C:19]([H:46])([H:47])[H:48])[C:20]([H:49])([H:50])[H:51])[H:39])[H:38])[C:21]([C:22]([H:52])([H:53])[H:54])=[N:23][N:24]2[C:25]([C:26]([F:27])([F:28])[F:29])([H:55])[H:56])[H:37])[c:30]([H:57])[c:31]1[H:58])([H:32])([H:33])[H:34],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58]]",18.0
14,14,14,[C:1]([O:2][C:3]([C:4]([C:5]([H:38])([H:39])[H:40])([N:6]1[N:7]=[C:8]([C:9]([H:41])([H:42])[H:43])[C:10]([C:11](=[O:12])[N:13]([C@@:14]([C:15]([H:46])([H:47])[H:48])([C:16]([C:17]([H:49])([H:50])[H:51])([C:18]([H:52])([H:53])[H:54])[C:19]([H:55])([H:56])[H:57])[H:45])[H:44])=[C:20]1[N:21]([S:22](=[O:23])(=[O:24])[c:25]1[c:26]([H:59])[c:27]([H:60])[c:28]([C:29]([H:61])([H:62])[H:63])[c:30]([H:64])[c:31]1[H:65])[H:58])[H:37])([H:35])[H:36])([H:32])([H:33])[H:34],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65]]",3.0
15,15,15,[C:1]([c:2]1[c:3]([H:25])[c:4]([H:26])[c:5](-[c:6]2[c:7]([H:27])[c:8]([H:28])[c:9]([H:29])[c:10]([S@:11]3(=[O:12])=[N:13][C:14](=[O:15])[C@@:16]([C:17]([H:31])([H:32])[H:33])([H:30])[N:18]3[H:34])[c:19]2[H:35])[c:20]([H:36])[c:21]1[H:37])([H:22])([H:23])[H:24],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37]]",19.5
16,16,16,[C:1]([c:2]1[c:3]([H:40])[c:4]([H:41])[c:5]([C:6]([O:7][H:44])([H:42])[H:43])[c:8]([H:45])[c:9]1[N:10]([c:11]1[c:12]([H:46])[c:13]([H:47])[n:14][c:15]([N:16]([c:17]2[c:18]([H:49])[c:19]([N:20]3[C:21]([H:50])([H:51])[C:22]([H:52])([H:53])[O:23][C:24]([H:54])([H:55])[C:25]3([H:56])[H:57])[c:26]([H:58])[c:27]([S:28]([C:29]([H:59])([H:60])[H:61])(=[O:30])=[O:31])[c:32]2[H:62])[H:48])[n:33]1)[C:34]([C:35]([H:64])([H:65])[H:66])([C:36]([H:67])([H:68])[H:69])[H:63])([H:37])([H:38])[H:39],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69]]",53.7
17,17,17,[O:1]=[C:2]([N:3]([C:4]([C:5]([c:6]1[c:7]([H:33])[c:8]([H:34])[c:9]([H:35])[c:10]([H:36])[c:11]1[Cl:12])([H:31])[H:32])([H:29])[H:30])[H:28])[c:13]1[c:14]([H:37])[c:15]([N:16]2[N:17]=[C:18]([H:38])[C:19](=[O:20])[N:21]([H:39])[C:22]2=[O:23])[c:24]([H:40])[c:25]([H:41])[c:26]1[Cl:27],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41]]",8.0
18,18,18,[C:1]([C:2]1=[C:10]([c:11]2[c:12]([H:25])[c:13]([H:26])[n:14][c:15]([N:16]([H:27])[H:28])[n:17]2)[N:9]2[C:4](=[N:3]1)[C:5]([H:21])=[C:6]([H:22])[C:7]([H:23])=[C:8]2[H:24])([H:18])([H:19])[H:20],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28]]",21.38
19,19,19,[N:1]([C:2](=[O:3])[N:4]1[c:5]2[c:6]([H:21])[c:7]([H:22])[c:8]([H:23])[c:9]([H:24])[c:10]2[C:11]([H:25])=[C:12]([H:26])[c:13]2[c:14]([H:27])[c:15]([H:28])[c:16]([H:29])[c:17]([H:30])[c:18]21)([H:19])[H:20],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30]]",5.25
20,20,20,[N:1]([C:2](=[O:3])[N:4]1[c:5]2[c:6]([H:21])[c:7]([H:22])[c:8]([H:23])[c:9]([H:24])[c:10]2[C:11]([H:25])=[C:12]([H:26])[c:13]2[c:14]([H:27])[c:15]([H:28])[c:16]([H:29])[c:17]([H:30])[c:18]21)([H:19])[H:20],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30]]",19.95
21,21,21,[C:1]([C:2]([C:3]1=[C:29]([Cl:30])[c:28]2[c:5]([n:6][c:7]([S:8][c:9]3[c:10]([H:37])[n:11][c:12]4[c:13]([H:38])[c:14]([H:39])[c:15]([H:40])[n+:16]([O-:17])[c:18]4[c:19]3[H:41])[n:20][c:21]2[N:22]2[C:23]([H:42])([H:43])[C:24]([H:44])([H:45])[C@:25]([N:26]([H:47])[H:48])([H:46])[C:27]2([H:49])[H:50])[N:4]1[H:36])([H:34])[H:35])([H:31])([H:32])[H:33],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50]]",112.2
22,22,22,[C:1]([c:2]1[c:3]([H:37])[c:4]([H:38])[c:5]([S:6](=[O:7])(=[O:8])[N:9]([C:10]2=[C:11]([C:12](=[O:13])[N:14]([C:15]3([H:41])[C:16]([H:42])([H:43])[C:17]([H:44])([H:45])[C:18]([H:46])([H:47])[C:19]([H:48])([H:49])[C:20]3([C:21]([H:51])([H:52])[H:53])[H:50])[H:40])[C:22]([C:23]([H:54])([H:55])[H:56])=[N:24][N:25]2[c:26]2[c:27]([H:57])[c:28]([H:58])[c:29]([H:59])[c:30]([H:60])[c:31]2[H:61])[H:39])[c:32]([H:62])[c:33]1[H:63])([H:34])([H:35])[H:36],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63]]",17.0
23,23,23,[C:1]([c:2]1[c:3]([H:35])[c:4]([H:36])[c:5]([S:6](=[O:7])(=[O:8])[N:9]([C:10]2=[C:11]([C:12](=[O:13])[N:14]([C:15]3([H:39])[C:16]([H:40])([H:41])[C:17]([H:42])([H:43])[C:18]([H:44])([H:45])[C:19]([H:46])([H:47])[C:20]3([H:48])[H:49])[H:38])[C:21]([H:50])=[N:22][N:23]2[c:24]2[c:25]([H:51])[c:26]([H:52])[c:27]([H:53])[c:28]([H:54])[c:29]2[H:55])[H:37])[c:30]([H:56])[c:31]1[H:57])([H:32])([H:33])[H:34],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57]]",27.0
