,,reaction_id,smiles,reaction_core,activation_energy
0,0,0,[C:1]([C:2]1=[N:3][N:4]([c:5]2[c:6]([H:36])[c:7]([H:37])[c:8]([F:9])[c:10]([H:38])[c:11]2[H:39])[C:12]([N:13]([S:14](=[O:15])(=[O:16])[c:17]2[c:18]([H:41])[c:19]([H:42])[c:20]([H:43])[n:21][c:22]2[H:44])[H:40])=[C:23]1[C:24](=[O:25])[N:26]([C@@:27]([C:28]([H:47])([H:48])[H:49])([C:29]([C:30]([H:50])([H:51])[H:52])([C:31]([H:53])([H:54])[H:55])[C:32]([H:56])([H:57])[H:58])[H:46])[H:45])([H:33])([H:34])[H:35],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58]]",12.0
1,1,1,[O:1]=[C:2]([N:3]([c:4]1[c:5]([H:29])[c:6]([H:30])[c:7]([N:8]2[C:9]([H:31])([H:32])[C:10]([H:33])([H:34])[N:11]([H:35])[C:12]([H:36])([H:37])[C:13]2([H:38])[H:39])[c:14]([H:40])[c:15]1[H:41])[H:28])[C:16]1=[C:17]([H:42])[C:18]([H:43])=[C:19]([c:20]2[c:21]([H:44])[c:22]([H:45])[c:23]([Cl:24])[c:25]([H:46])[c:26]2[H:47])[O:27]1,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47]]",3.0
2,2,2,[C:1]([C:2]([N:3]([C:4](=[O:5])[C:6]1=[C:7]([H:35])[C:8]([H:36])=[C:9]([c:10]2[c:11]([H:37])[c:12]([H:38])[c:13]([Cl:14])[c:15]([H:39])[c:16]2[H:40])[O:17]1)[c:18]1[c:19]([H:41])[c:20]([H:42])[c:21]([N:22]2[C:23]([H:43])([H:44])[C:24]([H:45])([H:46])[N:25]([H:47])[C:26]([H:48])([H:49])[C:27]2([H:50])[H:51])[c:28]([H:52])[c:29]1[H:53])([H:33])[H:34])([H:30])([H:31])[H:32],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53]]",3.0
3,3,3,[C:1]([C:2]1=[C:19]([C:20](=[O:21])[O:22][H:38])[S:18][C:4]([c:5]2[c:6]([H:26])[c:7]([H:27])[c:8]([O:9][C:10]([C:11]([C:12]([H:31])([H:32])[H:33])([C:13]([H:34])([H:35])[H:36])[H:30])([H:28])[H:29])[c:14]([C:15]#[N:16])[c:17]2[H:37])=[N:3]1)([H:23])([H:24])[H:25],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38]]",7.0
4,4,4,[C:1]([C:2]1=[C:19]([C:20](=[O:21])[O:22][H:38])[S:18][C:4]([c:5]2[c:6]([H:26])[c:7]([H:27])[c:8]([O:9][C:10]([C:11]([C:12]([H:31])([H:32])[H:33])([C:13]([H:34])([H:35])[H:36])[H:30])([H:28])[H:29])[c:14]([C:15]#[N:16])[c:17]2[H:37])=[N:3]1)([H:23])([H:24])[H:25],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38]]",12.73
5,5,5,[C:1]([C:2]([C:3]([H:44])([H:45])[H:46])([N:4]([C:5]([C:6]([C:7]([N:8]([C:9](=[O:10])[N:11]([c:12]1[c:13]([H:55])[c:14]([H:56])[c:15]([C:16]([C:17]([H:57])([H:58])[H:59])([C:18]([H:60])([H:61])[H:62])[C:19]([H:63])([H:64])[H:65])[c:20]([H:66])[c:21]1[H:67])[H:54])[H:53])([H:51])[H:52])([H:49])[H:50])([H:47])[H:48])[C:22]([C@@:23]1([H:70])[O:24][C@:25]([N:26]2[C:27]([H:72])=[C:28]([H:73])[c:29]3[c:30]([N:31]([H:74])[H:75])[n:32][c:33]([H:76])[n:34][c:35]32)([H:71])[C@@:36]([O:37][H:78])([H:77])[C@@:38]1([O:39][H:80])[H:79])([H:68])[H:69])[H:43])([H:40])([H:41])[H:42],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80]]",33.88
6,6,6,[O:1]=[C:2]([N:3]([C:4]([C@@:5]([O:6][H:45])([C:7]([N:8]1[C:9]([H:48])([H:49])[C:10]([H:50])([H:51])[C:11]([O:12][c:13]2[c:14]([H:53])[c:15]([H:54])[c:16]([Cl:17])[c:18]([Cl:19])[c:20]2[H:55])([H:52])[C:21]([H:56])([H:57])[C:22]1([H:58])[H:59])([H:46])[H:47])[H:44])([H:42])[H:43])[H:41])[C:23]1=[C:24]([H:60])[N:25]([H:61])[C:26](=[O:27])[c:28]2[c:29]([H:62])[c:30]([S:31](=[O:32])(=[O:33])[N:34]3[C:35]([H:63])([H:64])[C:36]([H:65])([H:66])[C:37]3([H:67])[H:68])[c:38]([H:69])[c:39]([H:70])[c:40]21,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70]]",3.0
7,7,7,[O:1]=[C:2]1[c:3]2[c:4]([H:21])[c:5]([H:22])[c:6]([H:23])[c:7]([H:24])[c:8]2[N:9]([H:25])[N:10]1[C:11]([C:12]1=[C:13]([H:28])[N:14]([H:29])[c:15]2[c:16]([H:30])[c:17]([H:31])[c:18]([H:32])[c:19]([H:33])[c:20]21)([H:26])[H:27],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33]]",4.37
8,8,8,[N:1]([C:2](=[O:3])[C:4]1=[C:29]([H:51])[C:28]2=[N:27][C:15]([c:16]3[c:17]([H:39])[c:18]([H:40])[c:19]([C:20]4([N:21]([H:41])[H:42])[C:22]([H:43])([H:44])[C:23]([H:45])([H:46])[C:24]4([H:47])[H:48])[c:25]([H:49])[c:26]3[H:50])=[C:8]([c:9]3[c:10]([H:34])[c:11]([H:35])[c:12]([H:36])[c:13]([H:37])[c:14]3[H:38])[N:7]2[C:6]([H:33])=[C:5]1[H:32])([H:30])[H:31],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51]]",3.72
9,9,9,[N:1]([C:2]1([c:3]2[c:4]([H:29])[c:5]([H:30])[c:6]([C:7]3=[C:15]([c:16]4[c:17]([H:35])[c:18]([H:36])[c:19]([H:37])[c:20]([H:38])[c:21]4[H:39])[N:14]4[C:9](=[N:8]3)[C:10]([H:31])=[C:11]([H:32])[C:12]([H:33])=[C:13]4[H:34])[c:22]([H:40])[c:23]2[H:41])[C:24]([H:42])([H:43])[C:25]([H:44])([H:45])[C:26]1([H:46])[H:47])([H:27])[H:28],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47]]",18.2
