,,reaction_id,smiles,reaction_core,activation_energy
0,0,0,[O:1]=[C:2]([O:3][H:33])[C:4]([c:5]1[c:6]([H:35])[c:7]([H:36])[c:8]([H:37])[c:9]([H:38])[c:10]1[H:39])([N:11]1[C:12]([H:40])([H:41])[C:13]([H:42])([H:43])[C:14]([C:15]([N:16]2[C:17]([H:47])([H:48])[C:18]([H:49])([H:50])[C:19]([O:20][c:21]3[c:22]([H:52])[c:23]([H:53])[c:24]([Cl:25])[c:26]([Cl:27])[c:28]3[H:54])([H:51])[C:29]([H:55])([H:56])[C:30]2([H:57])[H:58])([H:45])[H:46])([H:44])[C:31]([H:59])([H:60])[C:32]1([H:61])[H:62])[H:34],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62]]",3.0
1,1,1,[O:1]=[C:2]([O:3][H:33])[c:4]1[c:5]([H:34])[c:6]([H:35])[c:7]([C:8]([N:9]2[C:10]([H:38])([H:39])[C:11]([H:40])([H:41])[C:12]([C:13]([N:14]3[C:15]([H:45])([H:46])[C:16]([H:47])([H:48])[C:17]([O:18][c:19]4[c:20]([H:50])[c:21]([H:51])[c:22]([Cl:23])[c:24]([Cl:25])[c:26]4[H:52])([H:49])[C:27]([H:53])([H:54])[C:28]3([H:55])[H:56])([H:43])[H:44])([H:42])[C:29]([H:57])([H:58])[C:30]2([H:59])[H:60])([H:36])[H:37])[c:31]([H:61])[c:32]1[H:62],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62]]",3.0
2,2,2,[O:1]=[C:2]([O:3][H:33])[C@@:4]([c:5]1[c:6]([H:35])[c:7]([H:36])[c:8]([H:37])[c:9]([H:38])[c:10]1[H:39])([N:11]1[C:12]([H:40])([H:41])[C:13]([H:42])([H:43])[C:14]([C:15]([N:16]2[C:17]([H:47])([H:48])[C:18]([H:49])([H:50])[C:19]([O:20][c:21]3[c:22]([H:52])[c:23]([H:53])[c:24]([Cl:25])[c:26]([Cl:27])[c:28]3[H:54])([H:51])[C:29]([H:55])([H:56])[C:30]2([H:57])[H:58])([H:45])[H:46])([H:44])[C:31]([H:59])([H:60])[C:32]1([H:61])[H:62])[H:34],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62]]",3.0
3,3,3,[O:1]=[C:2]([O:3][H:33])[c:4]1[c:5]([H:34])[c:6]([H:35])[c:7]([H:36])[c:8]([H:37])[c:9]1[C:10]([N:11]1[C:12]([H:40])([H:41])[C:13]([H:42])([H:43])[C:14]([C:15]([N:16]2[C:17]([H:47])([H:48])[C:18]([H:49])([H:50])[C:19]([O:20][c:21]3[c:22]([H:52])[c:23]([H:53])[c:24]([Cl:25])[c:26]([Cl:27])[c:28]3[H:54])([H:51])[C:29]([H:55])([H:56])[C:30]2([H:57])[H:58])([H:45])[H:46])([H:44])[C:31]([H:59])([H:60])[C:32]1([H:61])[H:62])([H:38])[H:39],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62]]",3.0
4,4,4,[O:1]=[C:2]([O:3][H:33])[c:4]1[c:5]([H:34])[c:6]([H:35])[c:7]([H:36])[c:8]([C:9]([N:10]2[C:11]([H:39])([H:40])[C:12]([H:41])([H:42])[C:13]([C:14]([N:15]3[C:16]([H:46])([H:47])[C:17]([H:48])([H:49])[C:18]([O:19][c:20]4[c:21]([H:51])[c:22]([H:52])[c:23]([Cl:24])[c:25]([Cl:26])[c:27]4[H:53])([H:50])[C:28]([H:54])([H:55])[C:29]3([H:56])[H:57])([H:44])[H:45])([H:43])[C:30]([H:58])([H:59])[C:31]2([H:60])[H:61])([H:37])[H:38])[c:32]1[H:62],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62]]",3.0
5,5,5,[C:1]([N:2]1[C:3](=[O:4])[C:5]([O:6][c:7]2[c:8]([H:33])[c:9]([H:34])[c:10]([F:11])[c:12]([H:35])[c:13]2[F:14])=[C:15]([H:36])[c:16]2[c:17]([H:37])[n:18][c:19]([N:20]([C:21]([C:22]([C:23]([O:24][H:44])([H:42])[H:43])([H:40])[H:41])([C:25]([C:26]([O:27][H:49])([H:47])[H:48])([H:45])[H:46])[H:39])[H:38])[n:28][c:29]21)([H:30])([H:31])[H:32],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49]]",4.57
6,6,6,[C:1]([C:2]([C:3]([C:4]([C:5]([H:39])([H:40])[H:41])([H:37])[H:38])([N:6]([C:7](=[O:8])[C:9]1=[C:10]([H:43])[N:11]([c:12]2[c:13]([H:44])[c:14]([H:45])[c:15]([H:46])[c:16]([H:47])[c:17]2[H:48])[N:18]=[C:19]1[N:20]([S:21](=[O:22])(=[O:23])[c:24]1[c:25]([H:50])[c:26]([H:51])[c:27]([C:28]([H:52])([H:53])[H:54])[c:29]([H:55])[c:30]1[H:56])[H:49])[H:42])[H:36])([H:34])[H:35])([H:31])([H:32])[H:33],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56]]",9.0
7,7,7,[C:1]([O:2][c:3]1[c:4]([H:33])[c:5]([H:34])[c:6]([C@:7]2([H:35])[S:8][c:9]3[c:10]([H:36])[c:11]([H:37])[c:12]([H:38])[c:13]([H:39])[c:14]3[N:15]([C:16]([C:17]([N:18]([C:19]([H:44])([H:45])[H:46])[C:20]([H:47])([H:48])[H:49])([H:42])[H:43])([H:40])[H:41])[C:21](=[O:22])[C@@:23]2([O:24][C:25]([C:26]([H:51])([H:52])[H:53])=[O:27])[H:50])[c:28]([H:54])[c:29]1[H:55])([H:30])([H:31])[H:32],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55]]",43.65
8,8,8,[C:1]([C:2]1=[C:27]([C:28]([H:46])([H:47])[H:48])[c:26]2[c:4]([n:5][c:6]([H:32])[n:7][c:8]2[S:9][C:10]([C:11](=[O:12])[N:13]2[C:14]([H:35])([H:36])[C:15]([H:37])([H:38])[N:16]([C:17](=[O:18])[C:19]3=[C:20]([H:39])[C:21]([H:40])=[C:22]([H:41])[O:23]3)[C:24]([H:42])([H:43])[C:25]2([H:44])[H:45])([H:33])[H:34])[S:3]1)([H:29])([H:30])[H:31],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48]]",77.62
9,9,9,[C:1]([c:2]1[c:3]([Cl:4])[c:5]([H:38])[c:6]([H:39])[c:7]([O:8][C:9]2([H:40])[C:10]([H:41])([H:42])[C:11]([H:43])([H:44])[N:12]([C:13]3([H:45])[C:14]([H:46])([H:47])[C:15]([H:48])([H:49])[N:16]([C:17](=[O:18])[c:19]4[c:20]([H:50])[c:21]([H:51])[c:22]([H:52])[c:23]([S:24]([C:25]([H:53])([H:54])[H:55])(=[O:26])=[O:27])[c:28]4[H:56])[C:29]([H:57])([H:58])[C:30]3([H:59])[H:60])[C:31]([H:61])([H:62])[C:32]2([H:63])[H:64])[c:33]1[Cl:34])([H:35])([H:36])[H:37],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64]]",13.5
10,10,10,[O:1]=[C:2]([O:3][H:33])[c:4]1[c:5]([H:34])[c:6]([H:35])[c:7]([H:36])[c:8]([H:37])[c:9]1[C:10](=[O:11])[N:12]1[C:13]([H:38])([H:39])[C:14]([H:40])([H:41])[C:15]([N:16]2[C:17]([H:43])([H:44])[C:18]([H:45])([H:46])[C:19]([O:20][c:21]3[c:22]([H:48])[c:23]([H:49])[c:24]([Cl:25])[c:26]([Cl:27])[c:28]3[H:50])([H:47])[C:29]([H:51])([H:52])[C:30]2([H:53])[H:54])([H:42])[C:31]([H:55])([H:56])[C:32]1([H:57])[H:58],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58]]",3.0
11,11,11,[O:1]=[C:2]([O:3][H:33])[c:4]1[c:5]([H:34])[c:6]([H:35])[c:7]([H:36])[c:8]([C:9](=[O:10])[N:11]2[C:12]([H:37])([H:38])[C:13]([H:39])([H:40])[C:14]([N:15]3[C:16]([H:42])([H:43])[C:17]([H:44])([H:45])[C:18]([O:19][c:20]4[c:21]([H:47])[c:22]([H:48])[c:23]([Cl:24])[c:25]([Cl:26])[c:27]4[H:49])([H:46])[C:28]([H:50])([H:51])[C:29]3([H:52])[H:53])([H:41])[C:30]([H:54])([H:55])[C:31]2([H:56])[H:57])[c:32]1[H:58],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58]]",3.0
