,,reaction_id,smiles,reaction_core,activation_energy
0,0,0,[C:1]([C@@:2]([c:3]1[c:4]([H:38])[c:5]([H:39])[c:6](-[c:7]2[c:8]([H:40])[c:9]([H:41])[c:10]([F:11])[c:12]([H:42])[c:13]2[F:14])[c:15]([H:43])[c:16]1[H:44])([N:17]1[C:18]([H:45])([H:46])[C:19]([H:47])([H:48])[C@:20]([C:21]([C:22]([O:23][H:53])([H:51])[H:52])([H:49])[H:50])([c:24]2[c:25]([H:54])[c:26]([H:55])[c:27]([F:28])[c:29]([H:56])[c:30]2[H:57])[O:31][C:32]1=[O:33])[H:37])([H:34])([H:35])[H:36],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57]]",14.13
1,1,1,[C:1]([C@@:2]([c:3]1[c:4]([H:38])[c:5]([H:39])[c:6](-[c:7]2[c:8]([H:40])[c:9]([H:41])[c:10]([F:11])[c:12]([H:42])[c:13]2[F:14])[c:15]([H:43])[c:16]1[H:44])([N:17]1[C:18]([H:45])([H:46])[C:19]([H:47])([H:48])[C@@:20]([C:21]([C:22]([O:23][H:53])([H:51])[H:52])([H:49])[H:50])([c:24]2[c:25]([H:54])[c:26]([H:55])[c:27]([F:28])[c:29]([H:56])[c:30]2[H:57])[O:31][C:32]1=[O:33])[H:37])([H:34])([H:35])[H:36],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57]]",3.0
2,2,2,[N:1]([c:2]1[c:3]2[c:4]([n:5][c:6]3[c:7]([H:18])[c:8]([H:19])[c:9]([H:20])[c:10]([H:21])[c:11]13)[C:12]([H:22])([H:23])[C:13]([H:24])([H:25])[C:14]([H:26])([H:27])[C:15]2([H:28])[H:29])([H:16])[H:17],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29]]",30.5
3,3,3,[C:1]([C:2]([C:3]([H:25])([H:26])[H:27])([C:4]([C@:5]([N:6]([C:7](=[O:8])[N:9]1[C:10]([H:32])([H:33])[C:11]([H:34])([H:35])[O:12][C:13]([H:36])([H:37])[C:14]1([H:38])[H:39])[H:31])([C:15](=[O:16])[N:17]([C:18]([C:19]#[N:20])([H:41])[H:42])[H:40])[H:30])([H:28])[H:29])[H:24])([H:21])([H:22])[H:23],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42]]",3.0
4,4,4,[C:1]([O:2][C:3](=[O:4])[N:5]1[C:6]([H:39])([H:40])[C:7]([H:41])([H:42])[N:8]([c:9]2[c:10]([H:43])[c:11]([H:44])[n:12][c:13]([N:14]3[C:15]([H:45])=[C:16]([H:46])[N:17]=[C:18]3[H:47])[n:19]2)[C:20]([C:21]([C:22](=[O:23])[N:24]([C:25]([c:26]2[c:27]([H:54])[c:28]([H:55])[c:29]3[c:30]([c:31]2[H:56])[O:32][C:33]([H:57])([H:58])[O:34]3)([H:52])[H:53])[H:51])([H:49])[H:50])([H:48])[C:35]1([H:59])[H:60])([H:36])([H:37])[H:38],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60]]",17.0
5,5,5,[N:1]#[C:2][C:3]1=[C:4]([H:30])[N:5]=[C:6]([N:7]2[C:8]([H:31])([H:32])[C:9]([H:33])([H:34])[N:10]([C:11](=[O:12])[C@:13]3([H:35])[C:14]([H:36])([H:37])[C:15]([H:38])([H:39])[C:16]([H:40])([H:41])[C:17]([H:42])([H:43])[C@:18]3([C:19](=[O:20])[N:21]([C:22]3([C:23]#[N:24])[C:25]([H:46])([H:47])[C:26]3([H:48])[H:49])[H:45])[H:44])[C:27]([H:50])([H:51])[C:28]2([H:52])[H:53])[S:29]1,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53]]",6.76
6,6,6,[C:1]([C:2]([C:3]([H:35])([H:36])[H:37])([C:4]([H:38])([H:39])[H:40])[C:5]1=[C:6]([H:41])[S:7][C:8]([N:9]2[C:10]([H:42])([H:43])[C:11]([H:44])([H:45])[N:12]([C:13](=[O:14])[C@:15]3([H:46])[C:16]([H:47])([H:48])[C:17]([H:49])([H:50])[C:18]([H:51])([H:52])[C:19]([H:53])([H:54])[C@:20]3([C:21](=[O:22])[N:23]([C:24]3([C:25]#[N:26])[C:27]([H:57])([H:58])[C:28]3([H:59])[H:60])[H:56])[H:55])[C:29]([H:61])([H:62])[C:30]2([H:63])[H:64])=[N:31]1)([H:32])([H:33])[H:34],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64]]",150.0
7,7,7,[N:1]#[C:2][C:3]1([N:4]([C:5](=[O:6])[C@:7]2([H:29])[C:8]([H:30])([H:31])[C:9]([H:32])([H:33])[C:10]([H:34])([H:35])[C:11]([H:36])([H:37])[C@:12]2([C:13](=[O:14])[N:15]2[C:16]([H:39])([H:40])[C:17]([H:41])([H:42])[N:18]([C:19]3=[N:20][C:21]([H:43])=[C:22]([H:44])[S:23]3)[C:24]([H:45])([H:46])[C:25]2([H:47])[H:48])[H:38])[H:28])[C:26]([H:49])([H:50])[C:27]1([H:51])[H:52],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52]]",6.92
8,8,8,[O:1]=[C:2]([N:3]([C:4]([C:5]([C:6]([C:7]([C:8]([C:9]([N:10]([C:11]([C:12]([c:13]1[c:14]([H:49])[c:15]([H:50])[c:16]([O:17][H:51])[c:18]2[c:23]1[S:22][C:20]([O:21][H:52])=[N:19]2)([H:47])[H:48])([H:45])[H:46])[H:44])([H:42])[H:43])([H:40])[H:41])([H:38])[H:39])([H:36])[H:37])([H:34])[H:35])([H:32])[H:33])[H:31])[N:24]([c:25]1[c:26]([H:54])[c:27]([H:55])[c:28]([H:56])[c:29]([H:57])[c:30]1[H:58])[H:53],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58]]",11.0
9,9,9,[C:1]([O:2][c:3]1[c:4]([H:27])[c:5]([H:28])[c:6]([C:7]([N:8]([C:9](=[O:10])[C:11]([S:12][C:13]2=[N:14][c:15]3[c:16]([H:34])[c:17]([H:35])[c:18]([H:36])[n:19][c:20]3[S:21]2)([H:32])[H:33])[H:31])([H:29])[H:30])[c:22]([H:37])[c:23]1[H:38])([H:24])([H:25])[H:26],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38]]",150.0
