,,reaction_id,smiles,reaction_core,activation_energy
0,0,0,[C:1]([C:2]([N:3]([C:4]([C:5]([O:6][H:34])([c:7]1[c:8]([H:35])[c:9]([H:36])[c:10]([N+:11](=[O:12])[O-:13])[c:14]([H:37])[c:15]1[H:38])[H:33])([H:31])[H:32])[H:30])([C:16]12[C:17]([H:39])([H:40])[C:18]3([H:41])[C:19]([H:42])([H:43])[C:20]([H:44])([C:21]([H:45])([H:46])[C:22]([H:47])([C:23]3([H:48])[H:49])[C:24]1([H:50])[H:51])[C:25]2([H:52])[H:53])[H:29])([H:26])([H:27])[H:28],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53]]",30.5
1,1,1,[C:1]([O:2][c:3]1[c:4]([H:33])[c:5]([H:34])[c:6]([H:35])[c:7]([H:36])[c:8]1[C:9]([N:10]1[C:11](=[O:12])[c:13]2[c:14]([H:39])[c:15]([H:40])[c:16]([H:41])[c:17]([H:42])[c:18]2[C:19]1([C:20](=[O:21])[N:22]([C:23]1([H:45])[C:24]([H:46])([H:47])[C:25]([H:48])([H:49])[C:26]([C:27]([H:51])([H:52])[H:53])([H:50])[C:28]([H:54])([H:55])[C:29]1([H:56])[H:57])[H:44])[H:43])([H:37])[H:38])([H:30])([H:31])[H:32],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57]]",150.0
2,2,2,[C:1]([O:2][c:3]1[c:4]2[c:8]([c:9]([H:22])[c:10]3[c:16]1[O:15][C:13](=[O:14])[C:12]([H:24])=[C:11]3[H:23])[C:7]([H:21])=[C:6]([H:20])[O:5]2)([H:17])([H:18])[H:19],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24]]",6.0
3,3,3,[C:1]([c:2]1[c:3]([H:35])[c:4]([H:36])[c:5]([N:6]([C:7](=[O:8])[C:9]2([H:38])[C:10]([H:39])([H:40])[C:11]2([H:41])[H:42])[H:37])[c:12]([H:43])[c:13]1[N:14]1[C:15]([H:44])=[N:16][c:17]2[c:18]([H:45])[c:19]([H:46])[c:20]([N:21]3[C:22]([H:47])([H:48])[C:23]([H:49])([H:50])[N:24]([C:25]([H:51])([H:52])[H:53])[C:26]([H:54])([H:55])[C:27]3([H:56])[H:57])[c:28]([H:58])[c:29]2[C:30]1=[O:31])([H:32])([H:33])[H:34],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58]]",4.0
4,4,4,[O:1]=[C:2]([N:3]([C:4]([C@@:5]([O:6][H:37])([C:7]([N:8]1[C:9]([H:40])([H:41])[C:10]([H:42])([H:43])[C:11]([O:12][c:13]2[c:14]([H:45])[c:15]([H:46])[c:16]([Cl:17])[c:18]([Cl:19])[c:20]2[H:47])([H:44])[C:21]([H:48])([H:49])[C:22]1([H:50])[H:51])([H:38])[H:39])[H:36])([H:34])[H:35])[H:33])[N:23]1[C:24](=[O:25])[N:26]([H:52])[c:27]2[c:28]([H:53])[c:29]([H:54])[c:30]([H:55])[c:31]([H:56])[c:32]21,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56]]",3.0
5,5,5,[C:1]([c:2]1[c:3]([H:38])[c:4]([C:5]([N:6]2[C:7]([H:41])([H:42])[C:8]([H:43])([H:44])[c:9]3[c:10]([H:45])[c:11]([H:46])[c:12]([H:47])[c:13]([H:48])[c:14]3[C:15]2([C:16](=[O:17])[N:18]([c:19]2[c:20]([H:51])[c:21]([H:52])[c:22]([Cl:23])[c:24]([H:53])[c:25]2[Cl:26])[H:50])[H:49])([H:39])[H:40])[c:27]([H:54])[c:28]([H:55])[c:29]1[O:30][C:31]([C:32](=[O:33])[O:34][H:58])([H:56])[H:57])([H:35])([H:36])[H:37],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58]]",15.0
6,6,6,[C:1]([C@@:2]([C:3](=[O:4])[O:5][C@@:6]1([H:37])[C:7]([H:38])([H:39])[N+:8]2([C:9]([C:10]([c:11]3[c:12]([H:44])[c:13]([H:45])[c:14]([H:46])[c:15]([H:47])[c:16]3[H:48])([H:42])[H:43])([H:40])[H:41])[C:17]([H:49])([H:50])[C:18]([H:51])([H:52])[C:19]1([H:53])[C:20]([H:54])([H:55])[C:21]2([H:56])[H:57])([c:22]1[c:23]([H:58])[c:24]([H:59])[c:25]([H:60])[c:26]([H:61])[c:27]1[H:62])[N:28]1[C:29]([H:63])([H:64])[C:30]([H:65])([H:66])[C:31]([H:67])([H:68])[C:32]([H:69])([H:70])[C:33]1([H:71])[H:72])([H:34])([H:35])[H:36],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72]]",85.0
7,7,7,[C:1]([C@@:2]([C:3](=[O:4])[O:5][C@@:6]1([H:38])[C:7]([H:39])([H:40])[N+:8]2([C:9]([C:10]([c:11]3[c:12]([H:45])[c:13]([H:46])[c:14]([H:47])[c:15]([H:48])[c:16]3[F:17])([H:43])[H:44])([H:41])[H:42])[C:18]([H:49])([H:50])[C:19]([H:51])([H:52])[C:20]1([H:53])[C:21]([H:54])([H:55])[C:22]2([H:56])[H:57])([c:23]1[c:24]([H:58])[c:25]([H:59])[c:26]([H:60])[c:27]([H:61])[c:28]1[H:62])[N:29]1[C:30]([H:63])([H:64])[C:31]([H:65])([H:66])[C:32]([H:67])([H:68])[C:33]([H:69])([H:70])[C:34]1([H:71])[H:72])([H:35])([H:36])[H:37],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72]]",88.0
8,8,8,[C:1]([N:2]1[C:3]([c:4]2[c:5]([H:40])[c:6]([H:41])[c:7]([H:42])[c:8]([H:43])[c:9]2[C:10]([F:11])([F:12])[F:13])=[N:14][N:15]=[C:16]1[C:17]12[C:18]([H:44])([H:45])[C:19]([H:46])([H:47])[C:20]([C:21]3=[N:22][O:23][C:24]([c:25]4[c:26]([H:48])[c:27]([H:49])[c:28]([F:29])[c:30]([H:50])[c:31]4[H:51])=[N:32]3)([C:33]([H:52])([H:53])[C:34]1([H:54])[H:55])[C:35]([H:56])([H:57])[C:36]2([H:58])[H:59])([H:37])([H:38])[H:39],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59]]",3.0
9,9,9,[C:1]([c:2]1[c:3]([H:24])[c:4]([H:25])[c:5]([C:6]#[N:7])[c:8]([S:9][C@:10]([C:11]([C:12]([N:13]([H:31])[H:32])([H:29])[H:30])([H:27])[H:28])([c:14]2[c:15]([H:33])[c:16]([H:34])[c:17]([H:35])[c:18]([H:36])[c:19]2[H:37])[H:26])[n:20]1)([H:21])([H:22])[H:23],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37]]",3.0
