,rxn_id,predicted
0,0,-5.6285343
1,1,-5.1902876
2,2,-5.023114
3,3,-4.8418903
4,4,-4.4734764
5,5,-5.107691
6,6,-4.416686
7,7,-4.39079
8,8,-4.54493
9,9,-4.5298457
10,10,-5.2397113
11,11,-5.1953573
12,12,-5.266674
13,13,-4.5508413
14,14,-5.074787
15,15,-4.948285
16,16,-5.82206
17,17,-6.539239
18,18,-6.281392
19,19,-6.4161916
20,20,-5.7575936
21,21,-5.76623
22,22,-6.238105
23,23,-4.9240384
24,24,-4.7453423
25,25,-4.979119
26,26,-5.5605817
27,27,-5.4566813
28,28,-5.3170986
29,29,-6.2826433
30,30,-6.2741923
31,31,-6.0399027
32,32,-3.9450378
33,33,-6.16147
34,34,-6.2193074
35,35,-5.4652915
36,36,-6.203117
37,37,-4.850851
38,38,-4.838668
39,39,-4.7472496
40,40,-4.645933
41,41,-4.627757
42,42,-4.54905
43,43,-4.542103
44,44,-5.2765894
45,45,-5.2947817
46,46,-5.2973595
47,47,-5.2915983
48,48,-4.965808
49,49,-4.9746675
50,50,-4.9563603
51,51,-4.9597526
52,52,-4.952271
53,53,-4.9818106
54,54,-4.99244
55,55,-4.971606
56,56,-4.661762
57,57,-4.6503205
58,58,-4.6744432
59,59,-4.6918445
60,60,-4.6710706
61,61,-4.695444
62,62,-4.6523523
63,63,-4.6779284
64,64,-4.670929
65,65,-4.66545
66,66,-4.700983
67,67,-4.692933
68,68,-4.6907473
69,69,-4.3755846
70,70,-4.3768835
71,71,-4.3832927
72,72,-4.4039254
73,73,-4.405809
74,74,-4.4047585
75,75,-4.3769155
76,76,-4.406396
77,77,-4.1274223
78,78,-4.128701
79,79,-4.128233
80,80,-4.120244
81,81,-4.133033
82,82,-5.274272
83,83,-4.9734707
84,84,-4.982836
85,85,-4.966462
86,86,-4.399048
87,87,-4.3773804
88,88,-4.49308
89,89,-5.4289846
90,90,-5.432352
91,91,-4.888344
92,92,-5.3035197
93,93,-5.444395
94,94,-5.4157743
95,95,-4.7606125
96,96,-4.4666786
97,97,-5.005771
98,98,-5.4312725
99,99,-5.134499
100,100,-5.1440554
101,101,-4.497733
102,102,-4.400569
103,103,-4.2916536
104,104,-4.509363
105,105,-3.9462757
106,106,-4.534412
107,107,-4.554059
108,108,-6.1748514
109,109,-4.8361616
110,110,-5.2455654
111,111,-4.376512
112,112,-4.430677
113,113,-4.8139005
114,114,-5.3605957
115,115,-5.3876348
116,116,-5.2080755
117,117,-5.326154
118,118,-5.246644
119,119,-5.30223
120,120,-5.7993755
121,121,-5.7523756
122,122,-5.754922
123,123,-5.3049507
124,124,-4.04907
125,125,-5.263254
126,126,-6.6826816
127,127,-4.971759
128,128,-4.8943954
129,129,-4.3892827
130,130,-4.95933
131,131,-5.3167143
132,132,-5.295453
133,133,-5.881587
134,134,-5.7736816
135,135,-5.2419367
136,136,-5.9784164
137,137,-5.8381977
138,138,-5.632738
139,139,-4.688576
140,140,-6.255474
141,141,-6.2312665
142,142,-6.788564
143,143,-4.573495
144,144,-4.3839827
145,145,-5.303322
146,146,-4.7879934
147,147,-4.5830784
148,148,-4.8866515
149,149,-4.826242
150,150,-5.475464
151,151,-5.395866
152,152,-5.7749352
153,153,-5.0444
154,154,-4.7956953
155,155,-5.1271772
156,156,-4.653632
157,157,-5.1586094
158,158,-5.410942
159,159,-4.659617
160,160,-5.2113643
161,161,-4.589233
162,162,-4.8006377
163,163,-4.5501013
164,164,-4.7788777
165,165,-4.2013416
166,166,-4.8369856
167,167,-4.9942956
168,168,-4.39125
169,169,-6.034625
170,170,-6.0115447
171,171,-5.2558155
172,172,-4.645981
173,173,-4.304192
174,174,-4.304192
175,175,-5.137125
176,176,-5.953093
177,177,-4.813766
178,178,-5.047339
179,179,-5.79238
180,180,-5.8144965
181,181,-5.099343
