,rxn_id,predicted
0,0,3.0562358
1,1,3.3931801
2,2,4.4167137
3,3,3.2214184
4,4,6.466508
5,5,2.7166588
6,6,5.095996
7,7,5.9139156
8,8,2.2047467
9,9,8.0441065
10,10,6.2321978
11,11,3.5361464
12,12,1.6126605
13,15,2.2238457
14,16,0.3609687
15,17,1.2510589
16,18,2.6534932
17,19,1.0647391
18,21,2.001107
19,22,4.0807986
20,23,2.6272488
21,24,3.0007656
22,25,-1.3523778
23,26,-0.2621699
24,28,1.5801015
25,29,-0.20987158
26,30,-2.040843
27,31,-1.1099373
28,33,5.543041
29,34,2.080169
30,36,-0.6067092
31,37,4.821468
32,38,-0.57305515
33,41,7.003723
34,42,0.544573
35,43,-0.015233385
36,45,0.5775581
37,46,1.7053899
38,47,0.6549826
39,48,1.27442
40,49,7.069734
41,50,2.4963586
42,51,6.7185936
43,52,2.3699915
44,53,8.055542
45,55,5.706948
46,56,7.0303507
47,57,8.686999
48,58,2.3655777
49,59,4.9855723
50,60,3.3246553
51,61,6.655324
52,62,6.1541805
53,63,1.055168
54,64,0.9093525
55,65,3.3051355
56,66,3.4893138
57,67,6.8990803
58,68,5.4615235
59,69,3.481704
60,70,2.510915
61,71,2.510915
62,72,0.8600361
63,73,7.281803
64,74,1.6716202
65,75,6.52322
66,76,6.4859405
67,77,6.6711273
68,78,7.1857677
69,79,4.018598
70,80,7.953041
71,81,2.718024
72,82,1.0810144
73,83,1.4961324
74,84,3.0054524
75,85,1.0932839
76,86,3.6309152
77,87,7.648513
78,88,4.624765
79,89,4.5550385
80,90,1.8924695
81,91,5.5463223
82,93,3.6655426
83,94,5.9761076
84,95,5.6137795
85,96,7.0614076
86,97,4.5179195
87,98,4.924666
88,99,3.4462788
89,101,4.662067
90,102,7.6858387
91,103,7.005146
92,104,7.548778
93,105,-0.32705468
94,106,1.4869863
95,109,4.0661745
96,110,4.7120075
97,111,1.2159425
98,112,3.7939112
99,113,1.2897207
100,115,6.32508
101,116,3.9802907
102,117,4.123643
103,118,3.9802907
104,119,3.3906763
105,120,7.435218
106,121,5.7595735
107,122,3.6415598
108,123,5.932624
109,124,4.10609
110,125,3.423258
111,126,3.1957676
112,127,4.973008
113,128,9.241099
114,129,5.350197
115,130,0.41276628
116,131,4.290908
117,132,11.832619
118,133,9.040505
119,134,8.918625
120,135,5.2910447
121,136,4.4909735
122,137,8.711133
123,138,11.8408575
124,139,5.9295373
125,140,4.045539
126,141,3.5799503
127,142,3.3061168
128,143,8.389344
129,144,5.775285
130,146,9.360088
131,147,4.813088
132,148,1.8286794
133,149,1.5224186
134,150,2.5489068
135,151,4.9181695
136,153,1.3512709
137,154,1.2228233
138,155,4.762229
139,156,7.416298
140,157,3.1741328
141,158,4.1903086
142,159,5.827933
143,160,-0.89415735
144,161,0.31729895
145,162,3.8024752
146,163,3.3257077
147,164,4.1251535
148,166,6.5148406
149,167,3.2195356
150,168,4.6049232
151,169,0.94040865
152,170,0.69538945
153,171,6.2427945
154,173,3.7015328
155,174,6.8726964
156,175,5.210478
157,176,6.312291
158,177,3.14536
159,179,6.3518424
160,180,7.2927923
161,181,4.522325
162,182,-4.615981
163,183,5.1956086
164,184,8.663388
165,185,6.4287643
166,186,5.9976063
167,187,6.6649904
168,188,6.532402
169,189,-0.8952262
170,190,-1.1250942
171,191,5.4599304
172,192,6.597637
173,193,7.538457
174,194,6.905348
175,195,6.9518366
176,196,7.346891
177,197,7.693714
178,198,6.598009
179,199,4.5953884
180,200,5.012073
181,201,4.7225003
182,202,9.699382
183,203,9.699382
184,204,2.4150193
185,205,3.4779127
186,206,5.9355416
187,207,5.680597
188,208,5.7563057
189,209,4.907744
190,210,5.585877
191,211,5.680597
192,212,0.7653809
193,213,6.6546926
194,214,7.6341424
195,215,1.8685391
196,216,0.8262642
197,217,1.2330575
198,218,0.9419562
199,219,5.0824943
200,220,5.0824943
201,221,6.3656783
202,222,5.3973875
203,223,4.916345
204,224,1.0976979
205,225,2.777939
